,Role,"April 10, 2019 – April 9, 2020","April 10, 2020 – April 9, 2021","April 10, 2021 – April 9, 2022","April 10, 2022 – April 9, 2023","April 10, 2023 – April 9, 2024",Education,Functional Responsibility,Years of Experience,Company,socio_economic
55,IT Sr. Staff: Computer Systems Analyst,201.26,206.29,211.45,216.74,222.15,Bachelor's,"Designs, develops, programs, installs, implements, conducts research for, and maintains internal data processing computer systems and utilities, and/or for customers on a contract basis. Analyzes internal or external customers' needs, and determines equipment and software requirements for solutions to problems by means of automated systems; develops customized solutions to customer/user problems. Establishes system parameters and formats; ensures hardware/software compatibility; and coordinates and/or modifies user requirements in terms of existing and projected computer capacity and capabilities. May make programming changes as required to adapt or enhance existing or new programs and/or utilities. Maintains supplied software packages for internal users. Analyzes new hardware to determine its need or application in the existing or proposed system; advises on new techniques and estimated costs associated with new or revised programs and utilities, taking into consideration personnel, time, and hardware requirements, and makes trade-off analyses; develops general and detailed documentation describing system specifications and operating instructions; and revises existing systems and procedures to correct deficiencies and maintain more effective data handling, conversion, input/output requirements, and storage.",14,Lockheed Martin,Other than small business
56,IT Senior: System Administrator,150.35,154.11,157.96,161.91,165.96,Bachelor's,"Maintains smooth operation of multi-user computer systems, including coordination with network administrators. Duties may include setting up administrator and service accounts, maintaining system documentation, tuning system performance, installing system wide software and allocate mass storage space. Interacts with users and evaluates vendor products. Makes recommendations to purchase hardware and software, coordinates installation and provides backup recovery. Develops and monitors policies and standards for allocation related to the use of computing resources. Certifications: 8570 IAT II",5,Lockheed Martin,Other than small business
57,IT Senior: Computer Operations Support Analyst,150.35,154.11,157.96,161.91,165.96,Bachelor's,"Provides support to an enterprise management system. Performs monitoring and management of mainframes, networks and workgroup servers.",5,Lockheed Martin,Other than small business
58,IT Senior: Training & Development Representative,150.35,154.11,157.96,161.91,165.96,Bachelor's,"Designs and delivers programs to train all levels of personnel. Develops tests and visual aids, conducts training classes, and develops criteria for evaluating effectiveness of training activities. Keeps abreast of training and development research: learning theory, motivation theory, and new materials, methods, and techniques. Develops in-house programs and practices to identify developmental needs, including preparing personnel for more responsible positions and increasing effectiveness in present assignments. May evaluate and/or oversee contractors or vendors to develop and/or administer training programs.",5,Lockheed Martin,Other than small business
59,IT Senior: Database Administrator,150.35,154.11,157.96,161.91,165.96,Bachelor's,"Implements and maintains smooth operation and physical design of databases. Reviews database design and integration of systems, provides backup recovery and makes recommendations regarding enhancements and/or improvements. Maintains security and integrity controls. Formulates policies, procedures, and standards relating to database management, and monitors transaction activity and utilization. Responsibilities include: database loading; development and management of operational procedures; environment management; database health (e.g. monitoring, proactive and reactive responses); resource planning; database upgrade planning; backup and recovery strategy planning and implementation; environment transition planning (development, test, stage, production).",5,Lockheed Martin,Other than small business
60,IT Senior: Applications Analyst,150.35,154.11,157.96,161.91,165.96,Bachelor's,Interfaces between systems analysts/programmers and users located in a specialized area to ensure that information technology designs meet the needs of the end users within an organization. Documents product/service requirements and develops test procedures to ensure user requests are carried out. Requires general-logic knowledge of system capabilities without necessarily the ability to program.,5,Lockheed Martin,Other than small business
61,IT Senior: Quality Analyst,150.35,154.11,157.96,161.91,165.96,Bachelor's,"Reviews, analyzes and reports on quality discrepancies related to assembly, process, mechanical, electrical and electro-mechanical systems. Investigates problems and develops disposition and corrective actions for recurring discrepancies. Interfaces with manufacturing, engineering, customer, vendor and subcontractor representatives to determine responsibilities. Recommends corrective actions, dispositions and modifications.",5,Lockheed Martin,Other than small business
62,IT Senior: Computer Systems Analyst,150.35,154.11,157.96,161.91,165.96,Bachelor's,"Designs, develops, programs, installs, implements, conducts research for, and maintains internal data processing computer systems and utilities, and/or for customers on a contract basis. Analyzes internal or external customers' needs, and determines equipment and software requirements for solutions to problems by means of automated systems; develops customized solutions to customer/user problems. Establishes system parameters and formats; ensures hardware/software compatibility; and coordinates and/or modifies user requirements in terms of existing and projected computer capacity and capabilities. May make programming changes as required to adapt or enhance existing or new programs and/or utilities. Maintains supplied software packages for internal users. Analyzes new hardware to determine its need or application in the existing or proposed system; advises on new techniques and estimated costs associated with new or revised programs and utilities, taking into consideration personnel, time, and hardware requirements, and makes trade-off analyses; develops general and detailed documentation describing system specifications and operating instructions; and revises existing systems and procedures to correct deficiencies and maintain more effective data handling, conversion, input/output requirements, and storage.",5,Lockheed Martin,Other than small business
63,IT Associate: System Administrator,85.16,87.29,89.47,91.71,94.0,Bachelor's,"Maintains smooth operation of multi-user computer systems, including coordination with network administrators. Duties may include setting up administrator and service accounts, maintaining system documentation, tuning system performance, installing system wide software and allocate mass storage space. Interacts with users and evaluates vendor products. Makes recommendations to purchase hardware and software, coordinates installation and provides backup recovery. Develops and monitors policies and standards for allocation related to the use of computing resources. Certifications: 8570 IAT II",5,Lockheed Martin,Other than small business
64,IT Associate: Computer Operations Support Analyst,85.16,87.29,89.47,91.71,94.0,Bachelor's,"Provides support to an enterprise management system. Performs monitoring and management of mainframes, networks and workgroup servers.",5,Lockheed Martin,Other than small business
65,IT Associate: Training & Development Representative,85.16,87.29,89.47,91.71,94.0,Bachelor's,"Designs and delivers programs to train all levels of personnel. Develops tests and visual aids, conducts training classes, and develops criteria for evaluating effectiveness of training activities. Keeps abreast of training and development research: learning theory, motivation theory, and new materials, methods, and techniques. Develops in-house programs and practices to identify developmental needs, including preparing personnel for more responsible positions and increasing effectiveness in present assignments. May evaluate and/or oversee contractors or vendors to develop and/or administer training programs.",5,Lockheed Martin,Other than small business
66,IT Associate: Database,85.16,87.29,89.47,91.71,94.0,Bachelor's,"Implements and maintains smooth operation and physical design of databases. Reviews database design and integration of systems, provides backup recovery and makes recommendations regarding enhancements and/or improvements. Maintains security and integrity controls. Formulates policies, procedures, and standards relating to database management, and monitors transaction activity and utilization. Responsibilities include: database loading; development and management of operational procedures; environment management; database health (e.g. monitoring, proactive and reactive responses); resource planning; database upgrade planning; backup and recovery strategy planning and implementation; environment transition planning (development, test, stage, production).",5,Lockheed Martin,Other than small business
67,IT Associate: Applications Analyst,85.16,87.29,89.47,91.71,94.0,Bachelor's,Interfaces between systems analysts/programmers and users located in a specialized area to ensure that information technology designs meet the needs of the end users within an organization. Documents product/service requirements and develops test procedures to ensure user requests are carried out. Requires general-logic knowledge of system capabilities without necessarily the ability to program.,5,Lockheed Martin,Other than small business
68,IT Associate: Quality Analyst,85.16,87.29,89.47,91.71,94.0,Bachelor's,"Reviews, analyzes and reports on quality discrepancies related to assembly, process, mechanical, electrical and electro-mechanical systems. Investigates problems and develops disposition and corrective actions for recurring discrepancies. Interfaces with manufacturing, engineering, customer, vendor and subcontractor representatives to determine responsibilities. Recommends corrective actions, dispositions and modifications.",5,Lockheed Martin,Other than small business
69,IT Associate: Computer Systems Analyst,85.16,87.29,89.47,91.71,94.0,Bachelor's,"Designs, develops, programs, installs, implements, conducts research for, and maintains internal data processing computer systems and utilities, and/or for customers on a contract basis. Analyzes internal or external customers' needs, and determines equipment and software requirements for solutions to problems by means of automated systems; develops customized solutions to customer/user problems. Establishes system parameters and formats; ensures hardware/software compatibility; and coordinates and/or modifies user requirements in terms of existing and projected computer capacity and capabilities. May make programming changes as required to adapt or enhance existing or new programs and/or utilities. Maintains supplied software packages for internal users. Analyzes new hardware to determine its need or application in the existing or proposed system; advises on new techniques and estimated costs associated with new or revised programs and utilities, taking into consideration personnel, time, and hardware requirements, and makes trade-off analyses; develops general and detailed documentation describing system specifications and operating instructions; and revises existing systems and procedures to correct deficiencies and maintain more effective data handling, conversion, input/output requirements, and storage.",5,Lockheed Martin,Other than small business
